index,e,n,u
266,631.137038,-709.287249,0.0
267,631.460770,-708.906361,0.0
268,631.784503,-708.525472,0.0
269,632.108236,-708.144584,0.0
270,632.431969,-707.763696,0.0
271,632.755702,-707.382808,0.0
272,633.078625,-707.001243,0.0
273,633.401548,-706.619678,0.0
274,633.724471,-706.238113,0.0
275,634.047394,-705.856548,0.0
276,634.370317,-705.474983,0.0
277,634.693240,-705.093418,0.0
278,635.016089,-704.711792,0.0
279,635.338939,-704.330166,0.0
280,635.661454,-703.948248,0.0
281,635.983969,-703.566330,0.0
282,636.306484,-703.184412,0.0
283,636.628999,-702.802495,0.0
284,636.951514,-702.420577,0.0
285,637.274029,-702.038659,0.0
286,637.596499,-701.656702,0.0
287,637.918968,-701.274745,0.0
288,638.241437,-700.892787,0.0
289,638.563907,-700.510830,0.0
290,638.886376,-700.128873,0.0
291,639.208846,-699.746915,0.0
292,639.531314,-699.364956,0.0
293,639.853782,-698.982997,0.0
294,640.034142,-698.769363,0.0
295,640.034142,-698.769363,0.0
296,640.465958,-698.517842,0.0
297,640.897774,-698.266322,0.0
298,641.329590,-698.014801,0.0
299,641.761406,-697.763280,0.0
300,642.193222,-697.511760,0.0
301,642.625038,-697.260239,0.0
302,643.056854,-697.008719,0.0
303,643.488670,-696.757198,0.0
304,643.920486,-696.505678,0.0
305,644.352302,-696.254157,0.0
306,644.784118,-696.002636,0.0
307,645.215934,-695.751116,0.0
308,645.576059,-695.404410,0.0
309,645.936184,-695.057704,0.0
310,646.296310,-694.710998,0.0
311,646.656435,-694.364292,0.0
312,647.016560,-694.017586,0.0
313,647.376686,-693.670880,0.0
314,647.730560,-693.317782,0.0
315,648.084434,-692.964684,0.0
316,648.438307,-692.611585,0.0
317,648.792181,-692.258487,0.0
318,649.146055,-691.905389,0.0
319,649.499799,-691.552159,0.0
320,649.853542,-691.198930,0.0
321,650.207285,-690.845700,0.0
322,650.561028,-690.492471,0.0
323,650.914738,-690.139207,0.0
324,651.268447,-689.785944,0.0
325,651.622156,-689.432680,0.0
326,651.963699,-689.067687,0.0
327,652.305241,-688.702693,0.0
328,652.646783,-688.337700,0.0
329,652.988326,-687.972707,0.0
330,653.329868,-687.607713,0.0
331,653.655334,-687.228324,0.0
332,653.980800,-686.848935,0.0
333,654.306266,-686.469546,0.0
334,654.631733,-686.090157,0.0
335,654.957199,-685.710768,0.0
336,655.282665,-685.331379,0.0
337,655.606012,-684.950184,0.0
338,655.929360,-684.568989,0.0
339,656.252708,-684.187794,0.0
340,656.576056,-683.806599,0.0
341,656.899403,-683.425404,0.0
342,657.222751,-683.044209,0.0
343,657.545827,-682.662783,0.0
344,657.868903,-682.281358,0.0
345,658.191979,-681.899933,0.0
346,658.515055,-681.518508,0.0
347,658.838131,-681.137082,0.0
348,659.161206,-680.755657,0.0
349,659.483414,-680.373485,0.0
350,659.805621,-679.991313,0.0
351,660.127829,-679.609141,0.0
352,660.450036,-679.226968,0.0
353,660.772243,-678.844796,0.0
354,661.094451,-678.462624,0.0
355,661.417010,-678.080734,0.0
356,661.739570,-677.698843,0.0
357,662.062130,-677.316953,0.0
358,662.384690,-676.935062,0.0
359,662.707249,-676.553172,0.0
360,663.029809,-676.171281,0.0
361,663.352406,-675.789420,0.0
362,663.675003,-675.407560,0.0
363,663.997600,-675.025699,0.0
